product_master_id,subproduct_id,operation_id,operation_name,sub_operation
13,23,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
13,23,,Drill+Tap,Drilling+Tapping -both Side
13,23,,Heat Treatment,Roll Hardening
13,23,,Manual Lathe-1,Length+Centering + facing+ drilling+ jounal turning both side.
13,23,,Milling,Flat + Keyway
13,23,,Grinding,Berral + Journal - Both Side
13,23,,Manual Lathe-2,Step+Groove+Threading both side.
13,23,,Fitter work,Final tapping work (Manual)
13,23,,QAD,FINAL INSPECTION
,,,,
13,24,,Raw Material,Bandsaw cutting
13,24,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
13,24,,Drill+Tap,Centering+Drilling-both Side.
13,24,,Heat Treatment,Roll Hardening
13,24,,Manual Lathe-1,Length+Centering + facing+ drilling+ jounal turning both side.
13,24,,Grinding-1,Semi final grinding.
13,24,,Grinding-2,Boring grinding 1st & 2nd side.
13,24,,Grinding-3,Berral+Jouranal-1st & 2nd Side
13,24,,Manual Lathe-2,Final Rework - Both Side
13,24,,QAD,FINAL INSPECTION
,,,,
14,25,,Raw Material,Bandsaw cutting
14,25,,Blanking,Thickness+OD+Bore+Profile <br> Keyway
14,25,,Heat Treatment,Roll Hardening
14,25,,Hard Turning-1,Length+Facing+Bore hard turning.
14,25,,Grinding,Bore Grinding
14,25,,Hard turning-2,Profile Hardturning
14,25,,Manual lathe,Final rework- (Polish+Step Remove).
14,25,,QAD,FINAL INSPECTION
,,,,
14,26,,Raw Material,Bandsaw cutting
14,26,,Blanking,"Thickness+OD+Bore+Profile of Roll <br> Keyway of Roll <br> OD+Length,facing+journal turning of shaft."
14,26,,Heat Treatment-1,Roll Hardning & shaft turning.
14,26,,Hard Turning-1,Length+Facing+Bore hard turning of roll <br> Length facing +centering tuning of shaft.
14,26,,Grinding-1,Final Bore Grinding
14,26,,Milling,Keyway+Drilling of shaft
14,26,,Grinding-2,Only final berral grinding of shaft
14,26,,Heat Treatment-2,Shrink Fitting of roll & shaft.
14,26,,Grinding-3,Shaft Semifinal Grinding on Journal
14,26,,Hard turning-2,Profile Hardturning
14,26,,Grinding-4,Final grinding all Journal of shaft
14,26,,Manual lathe,Final rework- (Polish+Step Remove).
14,26,,Fitter work,Final tapping work (Manual)
14,26,,QAD,FINAL INSPECTION
,,,,
14,"27, 28",,Raw Material,Bandsaw cutting
15,"27, 29",,Blanking,OD+Length+journal turning.
16,"27, 30",,Heat Treatment,Shaft Hardning
17,"27, 31",,Manual lathe,Facing + centering + length turning.
18,"27, 32",,Hard Turning,Od+ Journal & Barrel Turning + Threading-1st side. <br> Journal & Barrel Turning + Threading-2nd side.
19,"27, 33",,Milling,Keyway+Drill work
